Link,Status
https://www.ihg.com/destinations/us/en/united-states/indiana/hammond-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/jasper-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/jeffersonville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/kokomo-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/lafayette-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/madison-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/marion-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/martinsville-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/michigan-city-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/new-haven-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/plainfield-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/plymouth-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/princeton-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/rensselaer-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/richmond-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/schererville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/scottsburg-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/seymour-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/shelbyville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/south-bend-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/tell-city-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/vincennes-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/wabash-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/washington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/whitestown-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/danbury-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/east-hartford-hotels,Success
