hotel_id,hotel_name,hotel_brand,sub_brand,hotel_code,image,hotel_address,hotel_zipcode,hotel_city,hotel_province,hotel_country,hotel_longitude,hotel_latitude,hotel_status
9317,DoubleTree by Hilton Yingde Resort,Hilton,DT,CANYDDI,https://www.hilton.com/im/en/CANYDDI/14890434/hotel-exterior-night-view-with-lake.jpg?impolicy=crop&cw=4511&ch=3000&gravity=NorthWest&xposition=257&yposition=0&rw=200&rh=133,No. 1 Aoyuan Avenue Yinghong Town,513042,Qingyuan,,China,113.386002,24.309153,Open
9318,Conrad Hong Kong,Hilton,CH,HKGHCCI,https://www.hilton.com/im/en/HKGHCCI/11445817/exterior-night-2011-resized.jpg?impolicy=crop&cw=3000&ch=2000&gravity=NorthWest&xposition=0&yposition=928&rw=300&rh=200,"Pacific Place,",518000,Hong Kong,,Hong Kong,114.1653943929,22.2769214857,Open
9319,Hampton by Hilton Guigang,Hilton,HP,NNGGGHX,https://www.hilton.com/im/en/NNGGGHX/18857402/main2.jpg?impolicy=crop&cw=4500&ch=3000&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No.380 Zhongshan North Road,",537110,Guigang,,China,109.596716,23.120562,Open
9320,Hilton Garden Inn Guilin Yangshuo,Hilton,GI,KWLYSGI,https://www.hilton.com/im/en/KWLYSGI/19182055/kwlys-exterior-1.jpg?impolicy=crop&cw=4336&ch=2884&gravity=NorthWest&xposition=331&yposition=0&rw=200&rh=133,"No. 63 Xinrong Street, Xinping Town",541906,Guilin,,China,110.18619,25.2417,
9321,Hampton by Hilton Guilin Lingui,Hilton,HP,KWLHXHX,https://www.hilton.com/im/en/MultiHotel/2630416/chengdu-exterior-night-c.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=64&rw=200&rh=133,"No.5 Xicheng Road,",541199,Guilin,,China,110.169834,25.218521,Open
9322,Hampton by Hilton Guilin Xiufeng,Hilton,HP,KWLGXHX,https://www.hilton.com/im/en/KWLGXHX/8538241/exterior.jpg?impolicy=crop&cw=5321&ch=3538&gravity=NorthWest&xposition=0&yposition=2426&rw=200&rh=133,"206 Dong'an Rd, Xiufeng District",541001,Guilin,,China,110.273051,25.268108,Open
9323,Hilton Guiyang,Hilton,HI,KWEJRHI,https://www.hilton.com/im/en/KWEJRHI/14408300/entrance.jpg?impolicy=crop&cw=4511&ch=3000&gravity=NorthWest&xposition=61&yposition=0&rw=200&rh=133,277 Jinyang North Road,550081,Guiyang,,China,106.622659,26.651,Open
9324,Hampton by Hilton Guiyang Convention Center,Hilton,HP,KWECHHX,https://www.hilton.com/im/en/KWECHHX/13849457/kwechhx-exterior.jpg?impolicy=crop&cw=4542&ch=3028&gravity=NorthWest&xposition=0&yposition=189&rw=300&rh=200,"Building 4, 6 Changling North Road",550081,Guiyang,,China,106.6503189833,26.6357702084,Open
9325,Home2 Suites by Hilton Guiyang Guanshanhu,Hilton,HT,KWEGNHT,https://www.hilton.com/im/en/KWEGNHT/19255129/exterior.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=5&rw=200&rh=133,"Building 69, Yuanda Meiyu Phase 3",550081,Guiyang,,China,106.643986,26.622916,
9326,Hampton by Hilton Guiyang Guanshan Lake,Hilton,HP,KWENGHX,https://www.hilton.com/im/en/KWENGHX/16765955/kweng-exterior.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=6&rw=200&rh=133,"Building 4-E, No.1 Hangzhou Rd,",550000,Guiyang,,China,106.58149,26.603949,Open
9327,Hampton by Hilton Guiyang Yunyan,Hilton,HP,KWEYDHX,https://www.hilton.com/im/en/KWEYDHX/10484325/kweydhx-exterior-cropped.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=97&rw=200&rh=133,"118 Shanlin Rd, Yunyan District",550001,Guiyang,,China,106.7022861594,26.5856354925,Open
9328,Hilton Garden Inn Guiyang Yunyan,Hilton,GI,KWEGUGI,https://www.hilton.com/im/en/KWEGUGI/5498722/k1.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,"No. 217 Dong Shan Road,",550001,Guiyang,,China,106.73865456,26.5838283234,Open
9329,Home2 Suites by Hilton Guiyang Airport,Hilton,HT,KWEENHT,https://www.hilton.com/im/en/KWEENHT/17743622/exterior.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=5&rw=200&rh=133,"96 Southwest Ring Road ,",550005,Guiyang,,China,106.778676,26.524563,Open
9330,Hampton by Hilton Haikou Nanhai,Hilton,HP,HAKHKHX,https://www.hilton.com/im/en/HAKHKHX/14079834/hakhkhx-exterior.jpg?impolicy=crop&cw=5464&ch=3633&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,"889 Nanhai Ave,",570312,Haikou,,China,110.178241,19.980847,Open
9331,Hilton Haikou,Hilton,HI,HAKHAHI,https://www.hilton.com/im/en/HAKHAHI/3385316/hilton-haikou-day-exterior.jpg?impolicy=crop&cw=3907&ch=2598&gravity=NorthWest&xposition=0&yposition=200&rw=200&rh=133,109-9 Binhai Avenue,570105,Haikou,,China,110.312707,20.029838,Open
9332,Hampton by Hilton Haikou Haidian Island,Hilton,HP,HAKHOHX,https://www.hilton.com/im/en/HAKHOHX/15175308/exterior.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"No.3 Chunhua Road, Meilan District,",570208,Haikou,,China,110.317115,20.063267,Open
9333,Hampton  by Hilton Haikou East Railway station,Hilton,HP,HAKMLHX,https://www.hilton.com/im/en/NoHotel/14937137/cnhx-generic-lobby-01.jpg?impolicy=crop&cw=6721&ch=4480&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No. 134-1, South Longkun Road",570100,Haikou,,China,110.338935,19.996319,
9334,Hilton Haikou Meilan,Hilton,HI,HAKMEHI,https://www.hilton.com/im/en/HAKMEHI/4657033/hakmehi-hotel-exterior.jpg?impolicy=crop&cw=5760&ch=3830&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"2 Qiongshan Avenue, Meilan District",571126,Haikou,,China,110.415181,20.062107,Open
9335,DoubleTree by Hilton Hotel Qinghai - Golmud,Hilton,DT,GOQQGDI,https://www.hilton.com/im/en/GOQQGDI/1815628/goqqgdi-exterior-night.jpg?impolicy=crop&cw=2250&ch=1500&gravity=NorthWest&xposition=125&yposition=0&rw=300&rh=200,No. 15-02 South Kunlun Road,816000,Golmud,,China,94.903187,36.391655,Open
9336,Canopy by Hilton Hangzhou West Lake,Hilton,PY,HGHWLPY,https://www.hilton.com/im/en/HGHWLPY/15097650/outside-building.jpg?impolicy=crop&cw=4143&ch=2755&gravity=NorthWest&xposition=0&yposition=122&rw=200&rh=133,No. 2 Guohuo Road,310001,Hangzhou,,China,120.16753,30.249336,Open
9337,Hampton by Hilton Hangzhou West Lake,Hilton,HP,HGHHHHX,https://www.hilton.com/im/en/HGHHHHX/15116038/exterior.jpg?impolicy=crop&cw=6771&ch=4502&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"158 Daxue Rd, Shangcheng District",310000,Hangzhou,,China,120.18285326899,30.25705438739,Open
9338,Hampton by Hilton Hangzhou Xixi Zijingang,Hilton,HP,HGHANHX,https://www.hilton.com/im/en/HGHANHX/15181560/exterior.jpg?impolicy=crop&cw=4806&ch=3204&gravity=NorthWest&xposition=97&yposition=0&rw=300&rh=200,"No.987 Moganshan Road,",310000,Hangzhou,,China,120.119393,30.308947,Open
9339,Conrad Hangzhou,Hilton,CH,HGHFRCI,https://www.hilton.com/im/en/HGHFRCI/10448029/hghfr-exterior-night.jpg?impolicy=crop&cw=4864&ch=3243&gravity=NorthWest&xposition=82&yposition=0&rw=300&rh=200,No. 228 Xinye Road,310016,Hangzhou,,China,120.213708,30.248936,Open
9340,Home2 Suites by Hilton Hangzhou Qianjiang New Town,Hilton,HT,HGHCAHT,https://www.hilton.com/im/en/HGHCAHT/17124346/interior.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=118&rw=200&rh=133,"37 Sanxin Road, Sijiqing Community",310000,Hangzhou,,China,120.219908,30.261432,Open
